,Title,Artist,Duration,Genre,Mood
,Best Day Of My Life,American Authors,03:14,Rock,Birthday
,Lovely Day,Bill Withers,04:14,R&B,Birthday
,Good Time,"Owl City,Carly Rae Jepsen",03:25,Pop,Birthday
,I Gotta Feeling,Black Eyed Peas,04:49,"Pop, Hip Hop",Birthday
,Girls Want Girls (with Lil Baby),"Drake,Lil Baby",03:41,"Hip Hop, Pop",NightOut
,Heat Waves,"Glass Animals,iann dior",02:55,"Pop, Hip Hop, Rock",NightOut
,Kiss Me Thru The Phone,"Soulja Boy,Sammie",03:13,"Hip Hop, Pop, R&B",NightOut
,Take Care,"Drake,Rihanna",04:37,"Pop, Hip Hop",NightOut
,Closer - R3hab Remix,"The Chainsmokers,Halsey,R3HAB",02:41,"Electronic, Pop",NightOut
,Yeah 3x,Chris Brown,04:01,"Hip Hop, R&B",NightOut
,She's Casual,The Hunna,03:03,Rock,NightOut
,"Show Me (feat. Trey Songz, Juicy J, 2 Chainz & Chris Brown) - Remix","Kid Ink,Trey Songz,Juicy J,2 Chainz,Chris Brown",04:33,"Hip Hop, Pop, R&B",NightOut
,Post to Be (feat. Chris Brown & Jhene Aiko),"Omarion,Chris Brown,Jhené Aiko",03:46,"Pop, Hip Hop, R&B",NightOut
,Super Bass,Nicki Minaj,03:20,"Pop, Hip Hop",NightOut
,Miles,SZA,01:09,"Pop, R&B, Hip Hop",Anxious
,Never Felt So Alone,Labrinth,02:40,Pop,Anxious
,As I Am,H.E.R.,04:00,"R&B, Hip Hop",Anxious
,breathin,Ariana Grande,03:18,Pop,Anxious
,W.A.Y.S.,Jhené Aiko,03:58,R&B,Anxious
,CPR,Summer Walker,03:23,"R&B, Hip Hop",Anxious
,Self Care,Mac Miller,05:45,Hip Hop,Anxious
,SUGAR,BROCKHAMPTON,03:24,"Pop, Hip Hop",Anxious
,Secondhand Smoke,Brynn Cartelli,04:03,"Pop, Rock, Country",Anxious
,Honey,Kehlani,03:19,"Pop, R&B, Hip Hop",Anxious
,i wanna be your girlfriend,girl in red,03:24,"Pop, Electronic",Crushing
,Crush Culture,Conan Gray,03:24,Pop,Crushing
,People Watching,Conan Gray,02:38,Pop,Crushing
,Prom Queen,Beach Bunny,02:16,"Rock, Pop",Crushing
,Juliet,Cavetown,04:38,Pop,Crushing
,All I Want,"Olivia Rodrigo,Disney",02:57,"Easy listening, Pop",Crushing
,Training Wheels,Melanie Martinez,03:25,Pop,Crushing
,This Is Home,Cavetown,03:46,Pop,Crushing
,Sweater Weather,The Neighbourhood,04:00,"Rock, Pop",Crushing
,Heather,Conan Gray,03:18,Pop,Crushing
,Too Young to Burn,Sonny & The Sunsets,03:19,"Rock, Folk/Acoustic",Bored
,Drunk on Halloween,Wallows,03:57,Pop,Bored
,Telescope,Cage The Elephant,03:48,"Rock, Pop, Blues",Bored
,All Apologies,Nirvana,03:53,Rock,Bored
,Drop the Guillotine,Peach Pit,03:39,"Pop, Rock",Bored
,Cigarette Daydreams,Cage The Elephant,03:28,"Rock, Pop, Blues",Bored
,Scrawny,Wallows,02:46,Pop,Bored
,Yellow,Coldplay,04:26,"Rock, Pop",Bored
,Dope on a Rope,The Growlers,04:10,"Blues, Rock",Bored
,Banquet,Bloc Party,03:21,"Rock, Pop",Bored
,What Once Was,Her's,04:15,"Pop, Rock",Alone
,Lovers Rock,TV Girl,03:33,Pop,Alone
,YKWIM?,Yot Club,03:32,Pop,Alone
,New Flesh,Current Joys,02:47,"Rock, Pop",Alone
,Cigarettes out the Window,TV Girl,03:18,Pop,Alone
,For the First Time,Mac DeMarco,03:02,"Folk/Acoustic, Rock, Pop",Alone
,Telephones,Vacations,03:32,Pop,Alone
,Wait a Minute!,WILLOW,03:16,"R&B, Pop",Alone
,Blondie,Current Joys,03:14,"Rock, Pop",Alone
,Sink into the Floor,Feng Suave,04:41,Pop,Alone
